seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
24,3.315000000,fused_map_f2f,1,1,0,0.007071779,0.003322305,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.160825804,0.027191065,0.750739038,0.999995947,-0.000057478,0.000036500,0.002840563
25,3.439000000,fused_map_f2f,1,1,0,0.008111636,0.003759858,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.134213820,0.027467528,0.750740707,0.999996126,-0.000046291,0.000047306,0.002782451
26,3.524000000,fused_map_f2f,1,1,0,0.008765435,0.005426703,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.108393304,0.027610544,0.750582397,0.999996305,0.000000461,0.000033564,0.002723221
27,3.609000000,fused_map_f2f,1,1,0,0.008491560,0.003860187,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.081525400,0.028042160,0.750397861,0.999996662,0.000014148,0.000042424,0.002580072
28,3.728000000,fused_map_f2f,1,1,0,0.006766249,0.005320531,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.033331804,0.029409798,0.750121057,0.999996543,0.000057942,0.000038436,0.002619608
29,3.806000000,fused_map_f2f,1,1,0,0.006238310,0.006342060,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.003131825,0.028835341,0.750362933,0.999996662,-0.000051581,0.000028302,0.002590863
30,3.915000000,fused_map_f2f,1,1,0,0.007595156,0.007222219,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.057538815,0.029065557,0.750333369,0.999996781,-0.000036265,0.000046776,0.002537655
31,4.021000000,fused_map_f2f,1,1,0,0.008526707,0.006847132,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.119909130,0.029925428,0.750022113,0.999996960,0.000008371,0.000033040,0.002468627
32,4.100000000,fused_map_f2f,1,1,0,0.006474403,0.006844084,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.168325707,0.030090263,0.750205100,0.999997079,0.000000823,0.000040221,0.002418257
33,4.211000000,fused_map_f2f,1,1,0,0.006720853,0.009976082,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.242116958,0.030027561,0.750366926,0.999997318,-0.000036172,0.000044642,0.002325208
34,4.323000000,fused_map_f2f,1,1,0,0.008159545,0.009324806,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.324581355,0.030218545,0.750567555,0.999997497,-0.000042684,0.000067855,0.002225287
