seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
1437,149.123000000,fused_map_f2f,1,1,0,0.096044181,0.016373475,0.857325116,0.857325116,0.100000000,0.012794389,0.012794389,0.042142717,0.003229588,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.470588235,0.205606925,0.364595711,1.000000000,0.937328454,0.561643836,0.526444748,1.018429650,89.779479980,17.396980286,0.733741581,0.999998868,-0.001476237,0.000117003,-0.000058385
1438,149.219000000,fused_map_f2f,1,1,0,0.098698110,0.049454457,0.846819981,0.846819981,0.100000000,0.012951053,0.012951053,0.042658167,0.003269521,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.523076923,0.241077368,0.410277101,1.000000000,0.933575978,0.569892473,0.532037923,1.018802528,89.847854614,17.396974564,0.733610272,0.999998987,-0.001426307,0.000107318,-0.000075944
1439,149.335000000,fused_map_f2f,1,1,0,0.100276593,0.033843525,0.840571820,0.840571820,0.100000000,0.013046065,0.013046065,0.042889111,0.003293744,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.507462687,0.242044120,0.401295260,1.000000000,0.936645397,0.539249147,0.505085231,1.017005682,89.949745178,17.396770477,0.732391536,0.999998868,-0.001495901,0.000117166,-0.000062580
1440,149.434000000,fused_map_f2f,1,1,0,0.099313211,0.026319733,0.844385207,0.844385207,0.100000000,0.012987912,0.012987912,0.042716031,0.003278918,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.492753623,0.264486097,0.401446613,1.000000000,0.934433746,0.545454545,0.509691134,1.017312742,90.024711609,17.396539688,0.732606292,0.999999046,-0.001370614,0.000138630,-0.000060444
1441,149.523000000,fused_map_f2f,1,1,0,0.100446906,0.024032575,0.839897666,0.839897666,0.100000000,0.013056400,0.013056400,0.042940385,0.003296379,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.546875000,0.254438442,0.429900377,1.000000000,0.934613626,0.547703180,0.511890855,1.017459390,90.226829529,17.395002365,0.732540250,0.999998689,-0.001609861,0.000115024,-0.000081515
1442,149.613000000,fused_map_f2f,1,1,0,0.101373672,0.031518111,0.836229215,0.836229215,0.100000000,0.013112926,0.013112926,0.043146128,0.003310792,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.485294118,0.233999396,0.384776229,1.000000000,0.934313275,0.557971014,0.521319726,1.018087982,90.286102295,17.395233154,0.732657969,0.999998748,-0.001561171,0.000098616,-0.000115934
1443,149.734000000,fused_map_f2f,1,1,0,0.100318931,0.019850013,0.840404231,0.840404231,0.100000000,0.013048633,0.013048633,0.042878980,0.003294399,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.538461538,0.231133756,0.415530425,1.000000000,0.935082873,0.532871972,0.498279455,1.016551964,90.395835876,17.394586563,0.732348323,0.999998629,-0.001646178,0.000086236,-0.000078111
1444,149.816000000,fused_map_f2f,1,1,0,0.101692835,0.033685977,0.834965860,0.834965860,0.100000000,0.013132506,0.013132506,0.043217207,0.003315785,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.507042254,0.222469833,0.393213285,1.000000000,0.933548685,0.561837456,0.524502618,1.018300175,90.452033997,17.395797729,0.732567787,0.999998808,-0.001543388,0.000089023,-0.000064219
1445,149.933000000,fused_map_f2f,1,1,0,0.101924400,0.013474179,0.834049252,0.834049252,0.100000000,0.013146749,0.013146749,0.043286962,0.003319417,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.179064534,0.371625814,1.000000000,0.934411085,0.570921986,0.533475832,1.018898389,90.549606323,17.395248413,0.732132316,0.999998868,-0.001483267,0.000099922,-0.000062552
1446,150.029000000,fused_map_f2f,1,1,0,0.103328100,0.020689602,0.828492937,0.828492937,0.100000000,0.013233751,0.013233751,0.043559500,0.003341604,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.514705882,0.242266663,0.405730195,1.000000000,0.936778957,0.567474048,0.531597747,1.018773183,90.611938477,17.394765854,0.731877744,0.999998629,-0.001656819,0.000066550,-0.000065622
