seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
1457,151.115000000,fused_map_f2f,1,1,0,0.106990289,0.017126701,0.813996775,0.813996775,0.100000000,0.013466252,0.013466252,0.043882224,0.003400911,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.514705882,1.000000000,0.708823529,1.000000000,0.935939708,0.546099291,0.511116011,1.008703867,91.950187683,17.396406174,0.731368601,0.999999344,-0.001126918,0.000068525,-0.000085533
1458,151.214000000,fused_map_f2f,1,1,0,0.102286351,0.012709680,0.832616526,0.832616526,0.100000000,0.013169073,0.013169073,0.042930719,0.003325110,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.514705882,1.000000000,0.708823529,1.000000000,0.939322672,0.534482759,0.502051773,1.008401726,92.008552551,17.396787643,0.731313765,0.999999464,-0.001008694,0.000032147,-0.000040710
1459,151.333000000,fused_map_f2f,1,1,0,0.104793855,0.026644043,0.822690992,0.822690992,0.100000000,0.013325837,0.013325837,0.043436678,0.003365091,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.544117647,0.321464536,0.455056403,1.000000000,0.940481814,0.541958042,0.509701682,1.008656723,92.078620911,17.396583557,0.732056379,0.999999404,-0.001086318,0.000069202,-0.000056361
1460,151.424000000,fused_map_f2f,1,1,0,0.103258110,0.028395068,0.828769982,0.828769982,0.100000000,0.013229386,0.013229386,0.043139093,0.003340491,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.521739130,0.242762436,0.410148453,1.000000000,0.935545024,0.550522648,0.515038724,1.008834624,92.137695312,17.397367477,0.731816530,0.999999642,-0.000834510,0.000062156,-0.000022498
1461,151.518000000,fused_map_f2f,1,1,0,0.104172761,0.039335754,0.825149488,0.825149488,0.100000000,0.013286661,0.013286661,0.043304289,0.003355099,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.536231884,0.245582754,0.419972232,1.000000000,0.939105614,0.536082474,0.503438061,1.008447935,92.195846558,17.397214890,0.731711030,0.999999583,-0.000903043,0.000016805,-0.000017821
1462,151.613000000,fused_map_f2f,1,1,0,0.101323666,0.020752629,0.836427154,0.836427154,0.100000000,0.013109864,0.013109864,0.042744150,0.003310011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.555555556,0.356196359,0.475811877,1.000000000,0.938512869,0.535460993,0.502537033,1.008417901,92.254219055,17.396619797,0.731508911,0.999999642,-0.000855151,0.000066916,-0.000053628
1463,151.730000000,fused_map_f2f,1,1,0,0.102487009,0.019239947,0.831822255,0.831822255,0.100000000,0.013181482,0.013181482,0.042977191,0.003328274,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.273107032,0.409242813,1.000000000,0.938483548,0.540636042,0.507378031,1.008579268,92.342163086,17.397451401,0.731591403,0.999999583,-0.000905689,0.000057550,-0.000007592
1464,151.818000000,fused_map_f2f,1,1,0,0.101605350,0.014732387,0.835312158,0.835312158,0.100000000,0.013127133,0.013127133,0.042834398,0.003314415,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.521739130,0.191175754,0.389513780,1.000000000,0.939408397,0.562962963,0.528852135,1.009295071,92.394226074,17.397043228,0.731188595,0.999999642,-0.000834694,0.000060068,-0.000016970
1465,151.920000000,fused_map_f2f,1,1,0,0.104745859,0.047453504,0.822880974,0.822880974,0.100000000,0.013322802,0.013322802,0.043404648,0.003364317,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.545454545,0.193141126,0.404529178,1.000000000,0.940669856,0.524475524,0.493358316,1.008111944,92.456565857,17.396907806,0.731393099,0.999999702,-0.000795343,0.000056268,-0.000033336
1466,152.015000000,fused_map_f2f,1,1,0,0.102528052,0.032189951,0.831659793,0.831659793,0.100000000,0.013184023,0.013184023,0.042962682,0.003328922,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.590909091,0.267813468,0.461670842,1.000000000,0.939059501,0.522648084,0.490797649,1.008026588,92.576240540,17.396699905,0.730920374,0.999999642,-0.000859602,0.000069532,-0.000022789
1467,152.129000000,fused_map_f2f,1,1,0,0.104773045,0.016931758,0.822773364,0.822773364,0.100000000,0.013324521,0.013324521,0.043421947,0.003364756,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.545454545,0.196605957,0.405915110,1.000000000,0.937950938,0.535211268,0.502001910,1.008400064,92.649353027,17.396293640,0.731113613,0.999999583,-0.000911860,0.000000401,-0.000007677
1468,152.222000000,fused_map_f2f,1,1,0,0.103998435,0.027502285,0.825839529,0.825839529,0.100000000,0.013275707,0.013275707,0.043252937,0.003352305,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.538461538,0.262375276,0.428027033,1.000000000,0.939846006,0.522648084,0.491208714,1.008040290,92.781700134,17.397233963,0.731597543,0.999999702,-0.000736572,0.000051260,-0.000031361
1469,152.321000000,fused_map_f2f,1,1,0,0.104451770,0.022898515,0.824045076,0.824045076,0.100000000,0.013304231,0.013304231,0.043338931,0.003359580,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.567164179,0.308140064,0.463554533,1.000000000,0.940378090,0.519163763,0.488210228,1.007940341,92.853492737,17.397884369,0.731961489,0.999999702,-0.000765529,0.000052269,0.000005728
1470,152.433000000,fused_map_f2f,1,1,0,0.105914028,0.021416064,0.818256973,0.818256973,0.100000000,0.013397081,0.013397081,0.043626218,0.003383265,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.537313433,0.276598360,0.433027404,1.000000000,0.941347552,0.514084507,0.483932192,1.007797740,92.966438293,17.397661209,0.731316924,0.999999762,-0.000676622,0.000064372,-0.000000869
1471,152.529000000,fused_map_f2f,1,1,0,0.104215904,0.022738617,0.824978714,0.824978714,0.100000000,0.013289375,0.013289375,0.043297178,0.003355791,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.546875000,0.224567715,0.417952086,1.000000000,0.938656280,0.524137931,0.491985361,1.008066179,93.027404785,17.398342133,0.731912971,0.999999821,-0.000543557,0.000041176,0.000028596
1472,152.620000000,fused_map_f2f,1,1,0,0.105327735,0.036984831,0.820577714,0.820577714,0.100000000,0.013359697,0.013359697,0.043545897,0.003373728,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.514705882,0.308545823,0.432241859,1.000000000,0.939629990,0.544169611,0.511318087,1.008710603,93.088516235,17.398300171,0.731761098,0.999999821,-0.000578796,0.000064118,0.000028253
1473,152.731000000,fused_map_f2f,1,1,0,0.106833848,0.019173650,0.814616019,0.814616019,0.100000000,0.013456154,0.013456154,0.043841264,0.003398335,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.514705882,0.200159838,0.388887465,1.000000000,0.938506589,0.537634409,0.504573435,1.008485781,93.169639587,17.398536682,0.732333541,0.999999881,-0.000418342,0.000075239,0.000006409
1474,152.833000000,fused_map_f2f,1,1,0,0.107308952,0.033972124,0.812735398,0.812735398,0.100000000,0.013486870,0.013486870,0.043916592,0.003406172,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.529411765,0.268105601,0.424889299,1.000000000,0.942326491,0.518900344,0.488973540,1.007965785,93.236984253,17.397771835,0.731851697,0.999999881,-0.000403479,0.000071148,-0.000014584
